Category,area_km2,percent_of_eez
Active fishing,519.5406017697533,0.4925368762684216
Insufficient legal protection,10716.081179731096,10.159100428579547
Outside protection schemes,75341.65323815148,71.42568340647854
Protected areas,2004.650737097254,1.900456689420867
Requires individual assessment,16955.070720706397,16.07381125024728
